,uid,topology,topology-uid,iteration,nodes,rank,service,message_size_bytes,message_size_mb,time_ms,time_seconds,hops
152,flux-ping-broker-size-200-rank-2,kary-4,kary-4-30,0,30,2,broker,209715200,200,10659.779,10.659779,4
153,flux-ping-kvs-size-200-rank-2,kary-4,kary-4-30,0,30,2,kvs,209715200,200,10649.451,10.649451,5
154,flux-ping-broker-size-200-rank-4,kary-4,kary-4-30,0,30,4,broker,209715200,200,10657.372,10.657371999999999,4
155,flux-ping-kvs-size-200-rank-4,kary-4,kary-4-30,0,30,4,kvs,209715200,200,10702.355,10.702354999999999,5
156,flux-ping-broker-size-200-rank-6,kary-4,kary-4-30,0,30,6,broker,209715200,200,12654.087,12.654086999999999,5
157,flux-ping-kvs-size-200-rank-6,kary-4,kary-4-30,0,30,6,kvs,209715200,200,12705.727,12.705727000000001,6
158,flux-ping-broker-size-200-rank-8,kary-4,kary-4-30,0,30,8,broker,209715200,200,12651.531,12.651531,5
159,flux-ping-kvs-size-200-rank-8,kary-4,kary-4-30,0,30,8,kvs,209715200,200,12651.579,12.651579,6
160,flux-ping-broker-size-200-rank-10,kary-4,kary-4-30,0,30,10,broker,209715200,200,12689.143,12.689143,5
161,flux-ping-kvs-size-200-rank-10,kary-4,kary-4-30,0,30,10,kvs,209715200,200,12678.746,12.678745999999999,6
162,flux-ping-broker-size-200-rank-12,kary-4,kary-4-30,0,30,12,broker,209715200,200,12677.101,12.677101,5
163,flux-ping-kvs-size-200-rank-12,kary-4,kary-4-30,0,30,12,kvs,209715200,200,12661.166,12.661166,6
164,flux-ping-broker-size-200-rank-14,kary-4,kary-4-30,0,30,14,broker,209715200,200,12921.211,12.921211,5
165,flux-ping-kvs-size-200-rank-14,kary-4,kary-4-30,0,30,14,kvs,209715200,200,12938.224,12.938224,6
166,flux-ping-broker-size-200-rank-16,kary-4,kary-4-30,0,30,16,broker,209715200,200,12746.514,12.746514,5
167,flux-ping-kvs-size-200-rank-16,kary-4,kary-4-30,0,30,16,kvs,209715200,200,12749.552,12.749552,6
168,flux-ping-broker-size-200-rank-18,kary-4,kary-4-30,0,30,18,broker,209715200,200,12697.87,12.69787,5
169,flux-ping-kvs-size-200-rank-18,kary-4,kary-4-30,0,30,18,kvs,209715200,200,12810.594,12.810593999999998,6
170,flux-ping-broker-size-200-rank-20,kary-4,kary-4-30,0,30,20,broker,209715200,200,12658.128,12.658128000000001,5
171,flux-ping-kvs-size-200-rank-20,kary-4,kary-4-30,0,30,20,kvs,209715200,200,12645.602,12.645602,6
172,flux-ping-broker-size-200-rank-22,kary-4,kary-4-30,0,30,22,broker,209715200,200,14979.639,14.979638999999999,6
173,flux-ping-kvs-size-200-rank-22,kary-4,kary-4-30,0,30,22,kvs,209715200,200,15001.717,15.001717000000001,7
174,flux-ping-broker-size-200-rank-24,kary-4,kary-4-30,0,30,24,broker,209715200,200,14767.991,14.767991,6
175,flux-ping-kvs-size-200-rank-24,kary-4,kary-4-30,0,30,24,kvs,209715200,200,14724.968,14.724968,7
176,flux-ping-broker-size-200-rank-26,kary-4,kary-4-30,0,30,26,broker,209715200,200,14647.357,14.647357,6
177,flux-ping-kvs-size-200-rank-26,kary-4,kary-4-30,0,30,26,kvs,209715200,200,14641.193,14.641193,7
178,flux-ping-broker-size-200-rank-28,kary-4,kary-4-30,0,30,28,broker,209715200,200,14728.398,14.728397999999999,6
179,flux-ping-kvs-size-200-rank-28,kary-4,kary-4-30,0,30,28,kvs,209715200,200,14708.318,14.708317999999998,7
180,flux-ping-broker-size-200-rank-0,kary-2,kary-2-30,0,30,0,broker,209715200,200,8874.795,8.874795,3
181,flux-ping-kvs-size-200-rank-0,kary-2,kary-2-30,0,30,0,kvs,209715200,200,8850.314,8.850314000000001,4
182,flux-ping-broker-size-200-rank-2,kary-2,kary-2-30,0,30,2,broker,209715200,200,10899.055,10.899055,4
183,flux-ping-kvs-size-200-rank-2,kary-2,kary-2-30,0,30,2,kvs,209715200,200,10868.248,10.868248,5
184,flux-ping-broker-size-200-rank-4,kary-2,kary-2-30,0,30,4,broker,209715200,200,12783.613,12.783612999999999,5
185,flux-ping-kvs-size-200-rank-4,kary-2,kary-2-30,0,30,4,kvs,209715200,200,12776.296,12.776296,6
186,flux-ping-broker-size-200-rank-6,kary-2,kary-2-30,0,30,6,broker,209715200,200,12884.701,12.884701,5
187,flux-ping-kvs-size-200-rank-6,kary-2,kary-2-30,0,30,6,kvs,209715200,200,12900.05,12.900049999999998,6
188,flux-ping-broker-size-200-rank-8,kary-2,kary-2-30,0,30,8,broker,209715200,200,14958.405,14.958405,6
189,flux-ping-kvs-size-200-rank-8,kary-2,kary-2-30,0,30,8,kvs,209715200,200,14950.797,14.950797,7
190,flux-ping-broker-size-200-rank-10,kary-2,kary-2-30,0,30,10,broker,209715200,200,14864.999,14.864999,6
191,flux-ping-kvs-size-200-rank-10,kary-2,kary-2-30,0,30,10,kvs,209715200,200,14952.524,14.952523999999999,7
192,flux-ping-broker-size-200-rank-12,kary-2,kary-2-30,0,30,12,broker,209715200,200,15021.984,15.021984,6
193,flux-ping-kvs-size-200-rank-12,kary-2,kary-2-30,0,30,12,kvs,209715200,200,14947.434,14.947434,7
194,flux-ping-broker-size-200-rank-14,kary-2,kary-2-30,0,30,14,broker,209715200,200,14916.176,14.916176,6
195,flux-ping-kvs-size-200-rank-14,kary-2,kary-2-30,0,30,14,kvs,209715200,200,14917.642,14.917641999999999,7
196,flux-ping-broker-size-200-rank-16,kary-2,kary-2-30,0,30,16,broker,209715200,200,16908.317,16.908317,7
197,flux-ping-kvs-size-200-rank-16,kary-2,kary-2-30,0,30,16,kvs,209715200,200,16902.555,16.902555,8
198,flux-ping-broker-size-200-rank-18,kary-2,kary-2-30,0,30,18,broker,209715200,200,16978.746,16.978745999999997,7
199,flux-ping-kvs-size-200-rank-18,kary-2,kary-2-30,0,30,18,kvs,209715200,200,16947.895,16.947895,8
200,flux-ping-broker-size-200-rank-20,kary-2,kary-2-30,0,30,20,broker,209715200,200,16938.324,16.938324,7
201,flux-ping-kvs-size-200-rank-20,kary-2,kary-2-30,0,30,20,kvs,209715200,200,16900.198,16.900198,8
202,flux-ping-broker-size-200-rank-22,kary-2,kary-2-30,0,30,22,broker,209715200,200,16915.303,16.915303,7
203,flux-ping-kvs-size-200-rank-22,kary-2,kary-2-30,0,30,22,kvs,209715200,200,16831.565,16.831564999999998,8
204,flux-ping-broker-size-200-rank-24,kary-2,kary-2-30,0,30,24,broker,209715200,200,16977.064,16.977064,7
205,flux-ping-kvs-size-200-rank-24,kary-2,kary-2-30,0,30,24,kvs,209715200,200,16871.267,16.871267,8
206,flux-ping-broker-size-200-rank-26,kary-2,kary-2-30,0,30,26,broker,209715200,200,16943.485,16.943485,7
207,flux-ping-kvs-size-200-rank-26,kary-2,kary-2-30,0,30,26,kvs,209715200,200,16852.425,16.852425,8
208,flux-ping-broker-size-200-rank-28,kary-2,kary-2-30,0,30,28,broker,209715200,200,16847.701,16.847701,7
