,uid,topology,iteration,nodes,event,size_gb,time_seconds
135,binomial-6,binomial,3,6,distribute-leaf-nodes,1,1.683
136,binomial-6,binomial,3,6,clean-leaf-nodes,1,0.19
137,binomial-6,binomial,3,6,delete-archive-leaf-nodes,1,0.018
138,binomial-6,binomial,3,6,create-middle-nodes,1,2.925
139,binomial-6,binomial,3,6,distribute-middle-nodes-0,1,2.175
140,binomial-6,binomial,3,6,distribute-middle-nodes-1,1,1.87
141,binomial-6,binomial,3,6,clean-middle-nodes,1,0.209
142,binomial-6,binomial,3,6,delete-archive-middle-nodes,1,0.019
143,binomial-6,binomial,3,6,create-archive,2,5.942
144,binomial-6,binomial,3,6,distribute-all-nodes,2,6.07
145,binomial-6,binomial,3,6,clean-all-nodes,2,0.393
146,binomial-6,binomial,3,6,delete-archive-all-nodes,2,0.025
147,binomial-6,binomial,3,6,create-leaf-nodes,2,5.774
148,binomial-6,binomial,3,6,distribute-leaf-nodes,2,3.62
149,binomial-6,binomial,3,6,clean-leaf-nodes,2,0.411
150,binomial-6,binomial,3,6,delete-archive-leaf-nodes,2,0.023
151,binomial-6,binomial,3,6,create-middle-nodes,2,5.885
152,binomial-6,binomial,3,6,distribute-middle-nodes-0,2,4.417
153,binomial-6,binomial,3,6,distribute-middle-nodes-1,2,3.709
154,binomial-6,binomial,3,6,clean-middle-nodes,2,0.422
155,binomial-6,binomial,3,6,delete-archive-middle-nodes,2,0.023
156,binomial-6,binomial,0,6,create-archive,1,3.083
157,binomial-6,binomial,0,6,distribute-all-nodes,1,3.278
158,binomial-6,binomial,0,6,clean-all-nodes,1,0.215
159,binomial-6,binomial,0,6,delete-archive-all-nodes,1,0.021
160,binomial-6,binomial,0,6,create-leaf-nodes,1,3.146
161,binomial-6,binomial,0,6,distribute-leaf-nodes,1,1.862
162,binomial-6,binomial,0,6,clean-leaf-nodes,1,0.216
163,binomial-6,binomial,0,6,delete-archive-leaf-nodes,1,0.02
164,binomial-6,binomial,0,6,create-middle-nodes,1,2.967
165,binomial-6,binomial,0,6,distribute-middle-nodes-0,1,2.416
166,binomial-6,binomial,0,6,distribute-middle-nodes-1,1,2.073
167,binomial-6,binomial,0,6,clean-middle-nodes,1,0.291
168,binomial-6,binomial,0,6,delete-archive-middle-nodes,1,0.022
169,binomial-6,binomial,0,6,create-archive,2,6.047
170,binomial-6,binomial,0,6,distribute-all-nodes,2,5.895
171,binomial-6,binomial,0,6,clean-all-nodes,2,0.404
172,binomial-6,binomial,0,6,delete-archive-all-nodes,2,0.024
173,binomial-6,binomial,0,6,create-leaf-nodes,2,6.109
174,binomial-6,binomial,0,6,distribute-leaf-nodes,2,3.614
175,binomial-6,binomial,0,6,clean-leaf-nodes,2,0.416
176,binomial-6,binomial,0,6,delete-archive-leaf-nodes,2,0.023
177,binomial-6,binomial,0,6,create-middle-nodes,2,6.009
178,binomial-6,binomial,0,6,distribute-middle-nodes-0,2,4.292
179,binomial-6,binomial,0,6,distribute-middle-nodes-1,2,3.803
180,binomial-6,binomial,0,6,clean-middle-nodes,2,0.438
181,binomial-6,binomial,0,6,delete-archive-middle-nodes,2,0.026
182,binomial-6,binomial,1,6,create-archive,1,2.969
183,binomial-6,binomial,1,6,distribute-all-nodes,1,3.084
184,binomial-6,binomial,1,6,clean-all-nodes,1,0.206
185,binomial-6,binomial,1,6,delete-archive-all-nodes,1,0.019
186,binomial-6,binomial,1,6,create-leaf-nodes,1,3.05
187,binomial-6,binomial,1,6,distribute-leaf-nodes,1,1.726
188,binomial-6,binomial,1,6,clean-leaf-nodes,1,0.191
189,binomial-6,binomial,1,6,delete-archive-leaf-nodes,1,0.019
190,binomial-6,binomial,1,6,create-middle-nodes,1,2.936
191,binomial-6,binomial,1,6,distribute-middle-nodes-0,1,2.09
192,binomial-6,binomial,1,6,distribute-middle-nodes-1,1,1.917
193,binomial-6,binomial,1,6,clean-middle-nodes,1,0.209
194,binomial-6,binomial,1,6,delete-archive-middle-nodes,1,0.018
195,binomial-6,binomial,1,6,create-archive,2,5.842
196,binomial-6,binomial,1,6,distribute-all-nodes,2,6.097
197,binomial-6,binomial,1,6,clean-all-nodes,2,0.388
198,binomial-6,binomial,1,6,delete-archive-all-nodes,2,0.025
199,binomial-6,binomial,1,6,create-leaf-nodes,2,5.861
200,binomial-6,binomial,1,6,distribute-leaf-nodes,2,3.805
201,binomial-6,binomial,1,6,clean-leaf-nodes,2,0.409
202,binomial-6,binomial,1,6,delete-archive-leaf-nodes,2,0.026
203,binomial-6,binomial,1,6,create-middle-nodes,2,5.83
204,binomial-6,binomial,1,6,distribute-middle-nodes-0,2,4.645
205,binomial-6,binomial,1,6,distribute-middle-nodes-1,2,3.753
206,binomial-6,binomial,1,6,clean-middle-nodes,2,0.418
207,binomial-6,binomial,1,6,delete-archive-middle-nodes,2,0.025
208,binomial-6,binomial,2,6,create-archive,1,3.144
209,binomial-6,binomial,2,6,distribute-all-nodes,1,3.188
210,binomial-6,binomial,2,6,clean-all-nodes,1,0.229
211,binomial-6,binomial,2,6,delete-archive-all-nodes,1,0.02
212,binomial-6,binomial,2,6,create-leaf-nodes,1,3.137
213,binomial-6,binomial,2,6,distribute-leaf-nodes,1,1.762
214,binomial-6,binomial,2,6,clean-leaf-nodes,1,0.209
215,binomial-6,binomial,2,6,delete-archive-leaf-nodes,1,0.019
216,binomial-6,binomial,2,6,create-middle-nodes,1,2.92
217,binomial-6,binomial,2,6,distribute-middle-nodes-0,1,2.284
218,binomial-6,binomial,2,6,distribute-middle-nodes-1,1,1.96
219,binomial-6,binomial,2,6,clean-middle-nodes,1,0.222
220,binomial-6,binomial,2,6,delete-archive-middle-nodes,1,0.02
221,binomial-6,binomial,2,6,create-archive,2,6.227
222,binomial-6,binomial,2,6,distribute-all-nodes,2,5.883
223,binomial-6,binomial,2,6,clean-all-nodes,2,0.408
224,binomial-6,binomial,2,6,delete-archive-all-nodes,2,0.023
225,binomial-6,binomial,2,6,create-leaf-nodes,2,5.913
226,binomial-6,binomial,2,6,distribute-leaf-nodes,2,3.818
227,binomial-6,binomial,2,6,clean-leaf-nodes,2,0.409
228,binomial-6,binomial,2,6,delete-archive-leaf-nodes,2,0.024
229,binomial-6,binomial,2,6,create-middle-nodes,2,5.9
230,binomial-6,binomial,2,6,distribute-middle-nodes-0,2,4.494
231,binomial-6,binomial,2,6,distribute-middle-nodes-1,2,3.688
232,binomial-6,binomial,2,6,clean-middle-nodes,2,0.432
233,binomial-6,binomial,2,6,delete-archive-middle-nodes,2,0.024
234,binomial-6,binomial,4,6,create-archive,1,3.195
235,binomial-6,binomial,4,6,distribute-all-nodes,1,3.156
236,binomial-6,binomial,4,6,clean-all-nodes,1,0.224
237,binomial-6,binomial,4,6,delete-archive-all-nodes,1,0.02
238,binomial-6,binomial,4,6,create-leaf-nodes,1,3.015
239,binomial-6,binomial,4,6,distribute-leaf-nodes,1,2.073
240,binomial-6,binomial,4,6,clean-leaf-nodes,1,0.211
241,binomial-6,binomial,4,6,delete-archive-leaf-nodes,1,0.019
242,binomial-6,binomial,4,6,create-middle-nodes,1,3.004
243,binomial-6,binomial,4,6,distribute-middle-nodes-0,1,2.217
244,binomial-6,binomial,4,6,distribute-middle-nodes-1,1,1.843
245,binomial-6,binomial,4,6,clean-middle-nodes,1,0.325
